col_num code v[vesc] alpha[deg] mtot[MSUN] gamma[1] wft[%] wfp[%] Nbig[1] mfr[mtot] r1[AU] phi_r1[rad] th_r1[rad] v1[AU/yr/2pi] phi_v1[rad] th_v1[rad] m1[mtot] wf1[1] r2[AU] phi_r2[rad] th_r2[rad] v2[AU/yr/2pi] phi_v2[rad] th_v2[rad] m2[mtot] w1[wtot]
48 003211 1.0 0.0 6.006979232e-06 1.0 20.0 20.0 1 0.0053599100402 3.22769496768e-06 0.109486324755 2.43002389303 0.000864244424195 0.46674630451 2.14135505604 0.99464008996 0.972755530922 0.00117995172728 -0.369200041525 0.255478987607 0.136823773286 -0.397994151741 0.25916621246 2.31452252204e-05 0.00011763474992 
49 010000 1.0 20.0 9.4379095486e-10 0.1 10.0 10.0 1 0.000263544957089 8.74866895548e-08 -0.544530262721 1.2177839831 1.64818520345e-05 -0.995593963909 1.55115155414 0.999736455043 0.997366754688 9.91281880189e-05 -0.878439871186 2.32707245124 0.0138579183207 -0.952017127395 2.30746599005 2.02614376644e-05 0.000202590876103 
50 010001 1.0 20.0 9.4379095486e-10 0.1 10.0 20.0 -1 -1 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 
51 010010 1.0 20.0 9.4379095486e-10 0.1 20.0 10.0 1 0.000186490998203 4.99518929346e-08 3.11046626404 1.58249550801 1.24350363174e-05 3.09416477808 1.42095843534 0.999813509002 0.99900078804 9.31030348948e-05 -0.357032086591 0.517939987097 0.0128998960134 -0.467109005328 0.50794805753 2.33085961129e-05 0.000124979670748 
52 010011 1.0 20.0 9.4379095486e-10 0.1 20.0 20.0 1 0.000188265326473 2.09290659609e-08 -2.62439453201 2.25749275697 2.37875436255e-06 2.77474512161 2.30363058461 0.999811734674 0.999049432606 6.5718209353e-05 -0.897659221216 1.33839943011 0.00820131257076 -1.03249728043 1.34616987571 2.34950181485e-05 0.000118790937962 
53 010100 1.0 20.0 9.4379095486e-10 0.5 10.0 10.0 1 0.000627287763203 4.20059077073e-08 -0.0125023815527 1.20580405241 8.64734165829e-06 -0.66354996514 0.308343582314 0.999372712237 0.993812164267 7.72494050175e-05 -0.974884553367 2.30563250417 0.0105848130886 -1.03349152059 2.28128982169 2.02417400899e-05 0.000199655762393 
54 010101 1.0 20.0 9.4379095486e-10 0.5 10.0 20.0 1 0.000575414995464 1.11723566377e-07 0.0444205236473 1.18585765897 2.84382780059e-05 -0.198681256513 1.18143663757 0.999424585005 0.995586935136 8.99095836497e-05 2.77837134147 1.81649776251 0.0131213723313 2.812779874 1.81669513211 2.13137809232e-05 0.00016345500626 
55 010110 1.0 20.0 9.4379095486e-10 0.5 20.0 10.0 1 0.000403969868851 3.62921423599e-08 1.40863500861 1.34829187311 4.04212933004e-06 1.95619229377 1.72866970256 0.999596030131 0.997586165408 8.3941428513e-05 -0.499566560242 1.06989716898 0.0119803109534 -0.526054589721 1.06676869076 2.2433894509e-05 0.000134128204477 
56 010111 1.0 20.0 9.4379095486e-10 0.5 20.0 20.0 1 0.000516927928665 6.93648333899e-08 0.0627643879199 1.60332606707 1.40219113658e-05 -0.588472593254 1.16906812571 0.999483072071 0.997416245022 8.55365749784e-05 -0.740496150357 1.05708066289 0.0125392828948 -0.773832364597 1.0674689492 2.3494140598e-05 0.000117493202938 
57 010200 1.0 20.0 9.4379095486e-10 1.0 10.0 10.0 1 0.000625012601061 5.66747164609e-08 -1.11360493603 1.41966453826 1.38762920406e-05 -0.988854972588 1.4014289635 0.999374987399 0.993706028545 6.60345069954e-05 -1.03382385704 2.6916621907 0.0083951312699 -1.05178674245 2.67214460441 2.0173857495e-05 0.000203095680597 
